-14,-6,Made Shot
74,151,Missed Shot
-228,-10,Made Shot
19,264,Made Shot
226,90,Missed Shot
121,440,Missed Shot
-157,134,Missed Shot
92,253,Missed Shot
14,-8,Made Shot
-165,241,Made Shot
52,252,Missed Shot
-8,86,Missed Shot
-158,215,Missed Shot
220,70,Missed Shot
-231,-21,Missed Shot
-16,183,Missed Shot
-30,247,Made Shot
11,-4,Missed Shot
-8,11,Made Shot
-122,267,Made Shot
22,-3,Made Shot
180,176,Missed Shot
232,-5,Missed Shot
-7,201,Made Shot
4,18,Made Shot
-18,4,Made Shot
146,206,Made Shot
-68,36,Made Shot
8,299,Made Shot
-3,70,Made Shot
-5,22,Missed Shot
33,278,Missed Shot
87,185,Made Shot
2,269,Made Shot
-16,59,Missed Shot
-150,206,Made Shot
63,263,Missed Shot
1,20,Missed Shot
9,55,Made Shot
-230,-16,Made Shot
217,147,Missed Shot
-5,26,Made Shot
62,276,Made Shot
116,279,Made Shot
131,248,Missed Shot
142,218,Made Shot
-7,225,Missed Shot
-17,20,Made Shot
-18,262,Made Shot
-2,22,Missed Shot
-143,239,Missed Shot
-169,216,Missed Shot
3,190,Made Shot
5,13,Missed Shot
-77,175,Missed Shot
5,18,Made Shot
-183,220,Made Shot
55,22,Missed Shot
116,242,Missed Shot
-86,155,Made Shot
-190,182,Missed Shot
-19,8,Made Shot
24,46,Missed Shot
185,168,Made Shot
171,235,Missed Shot
76,263,Missed Shot
0,26,Made Shot
-230,1,Missed Shot
-220,122,Made Shot
11,21,Made Shot
-138,214,Missed Shot
-171,264,Missed Shot
93,197,Missed Shot
146,244,Missed Shot
-78,151,Missed Shot
-147,277,Made Shot
-114,154,Missed Shot
-12,26,Missed Shot
36,26,Missed Shot
-8,127,Made Shot
-218,138,Made Shot
-100,157,Missed Shot
103,157,Made Shot
3,40,Made Shot
158,219,Missed Shot
103,3,Missed Shot
-205,179,Made Shot
-19,19,Missed Shot
-55,104,Missed Shot
14,31,Made Shot
158,236,Missed Shot
-49,38,Made Shot
-57,267,Missed Shot
119,153,Missed Shot
133,179,Made Shot
40,257,Missed Shot
96,91,Missed Shot
-98,169,Made Shot
17,20,Missed Shot
88,165,Missed Shot
188,25,Made Shot
-150,253,Missed Shot
-146,239,Missed Shot
-133,241,Missed Shot
-131,231,Missed Shot
-11,22,Made Shot
11,19,Missed Shot
-167,36,Missed Shot
76,125,Made Shot
158,250,Missed Shot
-58,495,Missed Shot
-133,244,Made Shot
-218,170,Made Shot
-50,16,Made Shot
24,106,Missed Shot
9,17,Made Shot
-44,28,Missed Shot
-78,273,Made Shot
-117,278,Missed Shot
-25,27,Made Shot
35,31,Missed Shot
-8,221,Made Shot
15,28,Made Shot
-131,220,Made Shot
-222,-7,Made Shot
207,150,Made Shot
-4,17,Made Shot
-4,8,Made Shot
-33,247,Made Shot
-127,221,Missed Shot
137,215,Missed Shot
-4,9,Made Shot
23,252,Missed Shot
-35,248,Missed Shot
-187,170,Made Shot
-6,13,Missed Shot
-201,36,Missed Shot
199,-11,Missed Shot
0,12,Made Shot
8,257,Made Shot
154,120,Missed Shot
-136,213,Made Shot
-135,246,Missed Shot
12,19,Made Shot
-15,262,Made Shot
231,-4,Made Shot
190,269,Made Shot
-5,4,Made Shot
-103,148,Missed Shot
-221,24,Missed Shot
-172,208,Made Shot
-192,193,Made Shot
-87,315,Missed Shot
-161,220,Made Shot
26,6,Missed Shot
178,174,Missed Shot
-2,-6,Missed Shot
37,247,Made Shot
107,227,Made Shot
188,180,Missed Shot
128,137,Missed Shot
-191,226,Made Shot
-51,259,Made Shot
3,12,Missed Shot
-196,221,Missed Shot
-6,0,Made Shot
-72,265,Missed Shot
-11,10,Made Shot
-123,132,Missed Shot
22,158,Missed Shot
101,253,Missed Shot
77,274,Made Shot
-106,232,Missed Shot
-2,24,Missed Shot
234,110,Made Shot
130,246,Missed Shot
2,6,Made Shot
-176,196,Made Shot
-141,235,Missed Shot
116,173,Missed Shot
22,27,Made Shot
-24,310,Missed Shot
-12,43,Missed Shot
227,38,Missed Shot
